School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
005757,LAKE SUPERIOR COLLEGE,2101 TRINITY ROAD,DULUTH,MN,55811,N/A,N/A,N/A
005759,NORTHWEST TECHNICAL COLLEGE - BEMIDJI,905 GRANT AVENUE SOUTHEAST,BEMIDJI,MN,56601,N/A,N/A,N/A
005760,NORTHERN MAINE COMMUNITY COLLEGE,33 EDGEMONT DR,PRESQUE ISLE,ME,04769,N/A,N/A,N/A
005763,CENTRAL GEORGIA TECHNICAL COLLEGE,3300 MACON TECH DR,MACON,GA,31206,N/A,N/A,N/A
005877,ROBERT J HOCHSTIM SCHOOL OF RADIOG,2445 OCEANSIDE RD,OCEANSIDE,NY,11572,N/A,N/A,N/A
005889,UNIVERSITY OF OKLAHOMA-HLTH SCI CTR,PO BOX 26901  OFC OF FIN AID,OKLAHOMA CITY,OK,73190,N/A,N/A,N/A
005939,PENNCO TECH,3815 OTTER STREET,BRISTOL,PA,19007,N/A,N/A,N/A
005987,AVERA SACRED HEART HOSPITAL SCHOOL OF RA,501 SUMMIT,YANKTON,SD,57078,N/A,N/A,N/A
006136,NATIONAL AVIATION ACADEMY - NEW ENGLAND,150 HANSCOM DRIVE,BEDFORD,MA,01730,N/A,N/A,N/A
006139,UNION COUNTY VOCATIONAL TECH INST,1776 RARITAN ROAD,SCOTCH PLAINS,NJ,07076,N/A,N/A,N/A
006165,LA CNTY CLG OF NURSING & ALLD HLTH,1237 NORTH MISSION ROAD,LOS ANGELES,CA,90033,N/A,N/A,N/A
006214,BLESSING RIEMAN COLLEGE OF NURSING,BROADWAY AT 11TH ST,QUINCY,IL,62301,N/A,N/A,N/A
006225,TRINITY COLLEGE OF NURSING AND HEALTH SC,2122 25TH AVENUE,ROCK ISLAND,IL,61201,N/A,N/A,N/A
006228,METHODIST COLLEGE,7600 ACADEMIC DRIVE,PEORIA,IL,61615,N/A,N/A,N/A
006240,ST FRANCIS MED CLG OF NRSG,511 GREENLEAF,PEORIA,IL,61603,N/A,N/A,N/A
006257,SAINT ELIZABETH SCHOOL OF NURSING,1508 TIPPECANOE STREET,LAFAYETTE,IN,47904,N/A,N/A,N/A
006267,UNITYPOINT HEALTH-DES MOINES,1200 PLEASANT STREET,DES MOINES,IA,50309,N/A,N/A,N/A
006273,MERCY COLLEGE OF HEALTH SCIENCES,928 SIXTH AVE,DES MOINES,IA,50309,N/A,N/A,N/A
006305,MAINE COLLEGE OF HEALTH PROFESSIONS,70 MIDDLE STREET,LEWISTON,ME,04243,N/A,N/A,N/A
006324,LABOURE COLLEGE OF HEALTHCARE,303 ADAMS STREET,MILTON,MA,02126,N/A,N/A,N/A
006331,LAWRENCE MEM HOSPITAL SCH OF NRSNG,170 GOVERNORS AVENUE,MEDFORD,MA,02155,N/A,N/A,N/A
006352,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,N/A,N/A,N/A
006385,CHAMBERLAIN COLLEGE OF NURSING,1221 NORTH SWIFT ROAD,ADDISON,IL,60101,N/A,N/A,N/A
006389,BARNES JEWISH COLLEGE OF NURSING AND ALL,4483 DUNCAN,SAINT LOUIS,MO,63110,N/A,N/A,N/A
006392,RESEARCH COLLEGE OF NURSING,2316 E MEYER BOULEVARD,KANSAS CITY,MO,64132,N/A,N/A,N/A
006399,BRYAN COLLEGE OF HEALTH SCIENCES,1535 S. 52ND ST.,LINCOLN,NE,68506,N/A,N/A,N/A
006417,HOLY NAME MEDICAL CENTER SCHOOL OF NURSI,333 HUDSON TERRACE,ENGLEWOOD CLIFFS,NJ,07632,N/A,N/A,N/A
006421,MUHLENBERG SNYDER SCHOOLS,PARK AVE & RANDOLPH RD,PLAINFIELD,NJ,07061,N/A,N/A,N/A
006429,ST FRANCIS MEDICAL CTR SCH NURSING,601 HAMILTON AVE,TRENTON,NJ,08629,N/A,N/A,N/A
006435,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,N/A,N/A,N/A
006438,PHILLIPS SCHOOL OF NURSING AT MOUNT SINA,776 6TH AVENUE  4TH FLOOR,NEW YORK,NY,10001,N/A,N/A,N/A
